,name,address,city,category,rating,url
1673,Pizza D'amore,8949A Bay Pkwy,Brooklyn,Pizza,4.0,http://www.yelp.com/biz/pizza-d-amore-brooklyn
1674,Wendy's,1602 Shore Pkwy,Brooklyn,Fast Food,3.5,http://www.yelp.com/biz/wendys-brooklyn-11
1675,La Casa Bella,2579 Cropsey Ave,Brooklyn,Italian,4.0,http://www.yelp.com/biz/la-casa-bella-brooklyn
1676,Oriental Palace Kitchen,3030 Mermaid Avenue,Brooklyn,Restaurants,4.0,http://www.yelp.com/biz/oriental-palace-kitchen-brooklyn
1677,Coney Island Surf and Turf Grill,1315 Surf Ave,Brooklyn,Seafood,2.5,http://www.yelp.com/biz/coney-island-surf-and-turf-grill-brooklyn
1678,Parkview Diner,2939 Cropsey Ave,Brooklyn,Diners,3.0,http://www.yelp.com/biz/parkview-diner-brooklyn
1679,Pizza On the Run,2932 Stillwell Ave,Brooklyn,Pizza,3.5,http://www.yelp.com/biz/pizza-on-the-run-brooklyn
1680,Avalon Pizza Restaurant,2611 Bath Ave,Brooklyn,Pizza,4.0,http://www.yelp.com/biz/avalon-pizza-restaurant-brooklyn
1681,Empire Taco China,2807 Cropsey Avenue,Brooklyn,Chinese,4.5,http://www.yelp.com/biz/empire-taco-china-brooklyn
1682,Jade Flowers Open Kitchen Inn,2579 Cropsey Avenue,Brooklyn,Restaurants,1.5,http://www.yelp.com/biz/jade-flowers-open-kitchen-inn-brooklyn
1683,Coney Island Gyro,1621 Neptune Ave,Brooklyn,American (New),2.0,http://www.yelp.com/biz/coney-island-gyro-brooklyn
1684,Gargiulo's,2911 W 15th St,Brooklyn,Italian,4.0,http://www.yelp.com/biz/gargiulos-brooklyn
1685,Famous Rotisserie & Grill,1525 Mermaid Ave,Coney Island,American (New),3.5,http://www.yelp.com/biz/famous-rotisserie-and-grill-coney-island
1686,Footprints Cafe,1521 Surf Ave,Brooklyn,Pubs,3.0,http://www.yelp.com/biz/footprints-cafe-brooklyn-2
1687,Govinda's Vegetarian,305 Schermerhorn St,Brooklyn,Vegetarian,4.5,http://www.yelp.com/biz/govindas-vegetarian-brooklyn
1688,Vegetarian Ginger,128 Montague St,Brooklyn,Vegan,4.0,http://www.yelp.com/biz/vegetarian-ginger-brooklyn
1689,Golden Fried Dumpling,192 Duffield St,Brooklyn,Chinese,4.0,http://www.yelp.com/biz/golden-fried-dumpling-brooklyn
1690,Los Papi's,77 Bridge St,Brooklyn,Latin American,4.0,http://www.yelp.com/biz/los-papis-brooklyn
1691,Siggy's Good Food,76 Henry St,Brooklyn,American (New),4.0,http://www.yelp.com/biz/siggys-good-food-brooklyn-2
1692,Tio Pio,78 Willoughby St,Brooklyn,Latin American,3.5,http://www.yelp.com/biz/tio-pio-brooklyn
1693,Bedouin Tent Restaurant,405 Atlantic Ave,Brooklyn,Middle Eastern,4.0,http://www.yelp.com/biz/bedouin-tent-restaurant-brooklyn
1694,Mile End Delicatessen Brooklyn,97A Hoyt St,Brooklyn,Delis,3.5,http://www.yelp.com/biz/mile-end-delicatessen-brooklyn-brooklyn
1695,Hanco's,134 Smith St,Brooklyn,Vietnamese,4.0,http://www.yelp.com/biz/hancos-brooklyn
1696,Shake Shack,409 Fulton St,Brooklyn,Burgers,4.0,http://www.yelp.com/biz/shake-shack-brooklyn
1697,Clark's Restaurant,80 Clark St,Brooklyn,Diners,4.0,http://www.yelp.com/biz/clarks-restaurant-brooklyn
1698,Hanco's,147 Montague St,Brooklyn,Vietnamese,3.5,http://www.yelp.com/biz/hancos-brooklyn-4
1699,Sophie's Cuban Cuisine,27 Smith St,New York,Cuban,3.5,http://www.yelp.com/biz/sophies-cuban-cuisine-new-york-10
1700,Side Street Deli,187 State St,Brooklyn,Delis,4.5,http://www.yelp.com/biz/side-street-deli-brooklyn
1701,Lassen & Hennigs,114 Montague St,Brooklyn,Delis,4.0,http://www.yelp.com/biz/lassen-and-hennigs-brooklyn
1702,Two 8 Two,282 Atlantic Ave,Brooklyn,Burgers,4.0,http://www.yelp.com/biz/two-8-two-brooklyn
1703,HOPHAP Thai Cuisine,204 Smith St,Brooklyn,Thai,4.0,http://www.yelp.com/biz/hophap-thai-cuisine-brooklyn
1704,Tutt Cafe,47 Hicks St,Brooklyn,Middle Eastern,4.0,http://www.yelp.com/biz/tutt-cafe-brooklyn
1705,Smashburger,80 Dekalb Ave,Brooklyn,Burgers,4.0,http://www.yelp.com/biz/smashburger-brooklyn
1706,Luciano's,15 Metrotech Ctr,Brooklyn,Italian,3.0,http://www.yelp.com/biz/lucianos-brooklyn
1707,Govinda's Vegetarian,305 Schermerhorn St,Brooklyn,Vegetarian,4.5,http://www.yelp.com/biz/govindas-vegetarian-brooklyn
1708,Bedouin Tent Restaurant,405 Atlantic Ave,Brooklyn,Middle Eastern,4.0,http://www.yelp.com/biz/bedouin-tent-restaurant-brooklyn
1709,Mile End Delicatessen Brooklyn,97A Hoyt St,Brooklyn,Delis,3.5,http://www.yelp.com/biz/mile-end-delicatessen-brooklyn-brooklyn
1710,Hanco's,134 Smith St,Brooklyn,Vietnamese,4.0,http://www.yelp.com/biz/hancos-brooklyn
1711,Golden Fried Dumpling,192 Duffield St,Brooklyn,Chinese,4.0,http://www.yelp.com/biz/golden-fried-dumpling-brooklyn
1712,Tio Pio,78 Willoughby St,Brooklyn,Latin American,3.5,http://www.yelp.com/biz/tio-pio-brooklyn
1713,Vegetarian Ginger,128 Montague St,Brooklyn,Vegan,4.0,http://www.yelp.com/biz/vegetarian-ginger-brooklyn
1714,Purbird,82 Sixth Ave,Brooklyn,American (New),4.5,http://www.yelp.com/biz/purbird-brooklyn
1715,HOPHAP Thai Cuisine,204 Smith St,Brooklyn,Thai,4.0,http://www.yelp.com/biz/hophap-thai-cuisine-brooklyn
1716,Shake Shack,409 Fulton St,Brooklyn,Burgers,4.0,http://www.yelp.com/biz/shake-shack-brooklyn
1717,City Sub,450 Bergen St,Brooklyn,Sandwiches,4.5,http://www.yelp.com/biz/city-sub-brooklyn
